"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2902","fullscreen","0","3911","0.0-0.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","","","","","","","","","","","","","",""
"","20391","html-keyboard-response","1","24304","0.0-1.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","29097","0.0-2.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","","","false","[]","[]","[]","","","","","","","",""
"","10237","html-keyboard-response","3","39337","0.0-3.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","instruction screen 1"," ","","","","","","","","","","","",""
"","7394","html-keyboard-response","4","46733","0.0-4.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","instruction screen 2","q","","","","","","","","","","","",""
"","4027","html-keyboard-response","5","50762","0.0-5.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","instruction screen 3","p","","","","","","","","","","","",""
"","8596","html-keyboard-response","6","59360","0.0-6.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","instruction screen 4"," ","","","","","","","","","","","",""
"","14121","html-keyboard-response","7","73483","0.0-7.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","74024","0.0-8.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","74526","0.0-9.0-0.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","fixation cross","null","","","","","","","","","","","",""
"","1223","html-keyboard-response","10","75749","0.0-9.0-1.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","7","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","75909","0.0-9.0-2.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","77116","0.0-9.0-3.0","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","77625","0.0-9.0-0.1","rslDT8rzDI","62db005bae68d37fe24b50da","6617fad957f7c6a12ea16e26","6622ccbf626f3a1e638670ef","fixation cross","null","","","","","","","","","","","",""
