"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1214","fullscreen","0","2219","0.0-0.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","","","","","","","","","","","","","",""
"","3984","html-keyboard-response","1","6208","0.0-1.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","12224","0.0-2.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","","","false","[]","[]","[]","","","","","","","",""
"","4426","html-keyboard-response","3","16651","0.0-3.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","instruction screen 1"," ","","","","","","","","","","","",""
"","2193","html-keyboard-response","4","18850","0.0-4.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","instruction screen 2","q","","","","","","","","","","","",""
"","1374","html-keyboard-response","5","20230","0.0-5.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","instruction screen 3","p","","","","","","","","","","","",""
"","1241","html-keyboard-response","6","21476","0.0-6.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","instruction screen 4"," ","","","","","","","","","","","",""
"","1311","html-keyboard-response","7","22792","0.0-7.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","23298","0.0-8.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","fixation cross","null","","","","","","","","","","","",""
"","438","html-keyboard-response","9","23801","0.0-9.0-0.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","fixation cross"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","10","26806","0.0-9.0-1.0","sIZWIAwLIO","5ca4d7e75d545300110b7545","6617fad957f7c6a12ea16e26","6622cb446eae5127a7bf6e76","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
