"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","922","fullscreen","0","1931","0.0-0.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","","","","","","","","","","","","","",""
"","3086","html-keyboard-response","1","5023","0.0-1.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","9627","0.0-2.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","","","false","[]","[]","[]","","","","","","","",""
"","5691","html-keyboard-response","3","15320","0.0-3.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","instruction screen 1"," ","","","","","","","","","","","",""
"","8925","html-keyboard-response","4","24257","0.0-4.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","instruction screen 2","q","","","","","","","","","","","",""
"","2589","html-keyboard-response","5","26852","0.0-5.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","instruction screen 3","p","","","","","","","","","","","",""
"","1993","html-keyboard-response","6","28852","0.0-6.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","instruction screen 4"," ","","","","","","","","","","","",""
"","990","html-keyboard-response","7","29847","0.0-7.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","30357","0.0-8.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","30859","0.0-9.0-0.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","1291","html-keyboard-response","10","32151","0.0-9.0-1.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","32304","0.0-9.0-2.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","33508","0.0-9.0-3.0","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","34013","0.0-9.0-0.1","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","842","html-keyboard-response","14","34857","0.0-9.0-1.1","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","image grid","p","","","","","Phylogenetic_Distractor_Threat_target","2900","ongrid","q","4","Phylogenetic","false","practice"
"","null","html-keyboard-response","15","35009","0.0-9.0-2.1","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","36212","0.0-9.0-3.1","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","36718","0.0-9.0-0.2","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","984","html-keyboard-response","18","37704","0.0-9.0-1.2","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","image grid","p","","","","","Phylogenetic_Distractor_notarget","2800","ongrid"," ","9","Phylogenetic","false","practice"
"","null","html-keyboard-response","19","37856","0.0-9.0-2.2","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","39060","0.0-9.0-3.2","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","39568","0.0-9.0-0.3","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","1907","html-keyboard-response","22","41477","0.0-9.0-1.3","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2700","ongrid","p","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","41630","0.0-9.0-2.3","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","42833","0.0-9.0-3.3","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","43342","0.0-9.0-0.4","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","858","html-keyboard-response","26","44201","0.0-9.0-1.4","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2600","ongrid","q","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","27","44353","0.0-9.0-2.4","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","28","45556","0.0-9.0-3.4","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","46064","0.0-9.0-0.5","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","1075","html-keyboard-response","30","47140","0.0-9.0-1.5","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","image grid","p","","","","","Ontogenetic_Distractor_notarget","2500","ongrid"," ","8","Phylogenetic","false","practice"
"","null","html-keyboard-response","31","47293","0.0-9.0-2.5","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","48496","0.0-9.0-3.5","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","33","49004","0.0-9.0-0.6","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","fixation cross","null","","","","","","","","","","","",""
"","721","html-keyboard-response","34","49726","0.0-9.0-1.6","uULhv5QxC6","63d79dd07448168e7afd6990","6617fad957f7c6a12ea16e26","6622ca3ce488f002b1e480d2","image grid","p","","","","","Ontogenetic_Distractor_Threat_target","2400","ongrid","q","3","Phylogenetic","false","practice"
